transaction_id,amount,true_root_cause,pred_root_cause,prediction_confidence,action_taken,escalation_reason,cooldown_hours,recovered,amount_recovered
txn_002775,150.42,bank_gateway_timeout,bank_gateway_timeout,0.625,immediate_retry,,0.0,False,0.0
txn_003160,3287.09,risk_fraud_hold,risk_fraud_hold,0.993,manual_escalation,compliance_never_auto_retry,,True,3287.09
txn_003319,893.79,network_technical_error,bank_gateway_timeout,0.702,immediate_retry,,0.0,True,893.79
txn_002391,268.74,card_expired_invalid,issuer_declined_generic,0.508,immediate_retry,,0.0,False,0.0
txn_005523,741.55,risk_fraud_hold,issuer_declined_generic,0.525,immediate_retry,,0.0,False,0.0
txn_003810,1957.19,card_expired_invalid,card_expired_invalid,0.996,card_update_nudge,,0.0,False,0.0
txn_001083,526.84,issuer_declined_generic,insufficient_funds,0.82,delayed_retry,,48.0,False,0.0
txn_004948,968.51,card_expired_invalid,card_expired_invalid,0.995,card_update_nudge,,0.0,True,968.51
txn_003034,2499.23,insufficient_funds,insufficient_funds,0.997,delayed_retry,,48.0,False,0.0
txn_005412,6916.12,network_technical_error,network_technical_error,0.994,immediate_retry,,0.0,False,0.0
txn_003723,2779.16,bank_gateway_timeout,bank_gateway_timeout,0.994,immediate_retry,,0.0,False,0.0
txn_001554,3832.37,bank_gateway_timeout,bank_gateway_timeout,0.993,immediate_retry,,0.0,True,3832.37
txn_000421,973.42,insufficient_funds,insufficient_funds,0.995,delayed_retry,,48.0,False,0.0
txn_000663,1657.64,network_technical_error,network_technical_error,0.543,immediate_retry,,0.0,True,1657.64
txn_003622,697.42,issuer_declined_generic,issuer_declined_generic,0.985,immediate_retry,,0.0,False,0.0
txn_000669,401.79,insufficient_funds,insufficient_funds,0.874,delayed_retry,,48.0,False,0.0
txn_002202,388.33,bank_gateway_timeout,bank_gateway_timeout,0.805,immediate_retry,,0.0,False,0.0
txn_002547,129.63,issuer_declined_generic,issuer_declined_generic,0.991,immediate_retry,,0.0,False,0.0
txn_004591,420.87,risk_fraud_hold,risk_fraud_hold,0.993,manual_escalation,compliance_never_auto_retry,,False,0.0
txn_002012,549.68,insufficient_funds,insufficient_funds,0.964,delayed_retry,,48.0,False,0.0
txn_005479,438.29,bank_gateway_timeout,bank_gateway_timeout,0.696,immediate_retry,,0.0,True,438.29
txn_005442,2001.91,card_expired_invalid,card_expired_invalid,0.996,card_update_nudge,,0.0,True,2001.91
txn_002406,185.57,bank_gateway_timeout,bank_gateway_timeout,0.993,immediate_retry,,0.0,True,185.57
txn_003106,2535.37,insufficient_funds,insufficient_funds,0.885,delayed_retry,,48.0,False,0.0
txn_003494,789.4,card_expired_invalid,card_expired_invalid,0.995,manual_review,retry_cap_exceeded,,False,0.0
txn_003408,1300.34,network_technical_error,network_technical_error,0.993,immediate_retry,,0.0,True,1300.34
txn_003591,1513.98,bank_gateway_timeout,network_technical_error,0.902,immediate_retry,,0.0,True,1513.98
txn_001058,344.19,bank_gateway_timeout,bank_gateway_timeout,0.992,immediate_retry,,0.0,True,344.19
txn_003560,1248.53,network_technical_error,bank_gateway_timeout,0.717,immediate_retry,,0.0,False,0.0
txn_004268,426.69,insufficient_funds,insufficient_funds,0.419,manual_review,low_confidence_prediction,,False,0.0
txn_001320,453.96,insufficient_funds,insufficient_funds,0.968,delayed_retry,,48.0,False,0.0
txn_005239,390.92,issuer_declined_generic,issuer_declined_generic,0.479,immediate_retry,,0.0,False,0.0
txn_005555,335.19,bank_gateway_timeout,bank_gateway_timeout,0.519,immediate_retry,,0.0,False,0.0
txn_003207,8118.08,issuer_declined_generic,issuer_declined_generic,0.434,manual_review,low_confidence_prediction,,False,0.0
txn_001265,5526.84,card_expired_invalid,card_expired_invalid,0.992,card_update_nudge,,0.0,False,0.0
txn_005860,2121.29,issuer_declined_generic,insufficient_funds,0.471,delayed_retry,,48.0,False,0.0
txn_003405,2118.79,risk_fraud_hold,risk_fraud_hold,0.991,manual_escalation,compliance_never_auto_retry,,False,0.0
txn_002049,729.1,bank_gateway_timeout,bank_gateway_timeout,0.993,immediate_retry,,0.0,False,0.0
txn_003009,472.95,issuer_declined_generic,issuer_declined_generic,0.984,immediate_retry,,0.0,True,472.95
txn_000707,308.59,card_expired_invalid,issuer_declined_generic,0.488,immediate_retry,,0.0,False,0.0
txn_003272,774.97,bank_gateway_timeout,bank_gateway_timeout,0.533,immediate_retry,,0.0,False,0.0
txn_005197,427.22,insufficient_funds,insufficient_funds,0.997,delayed_retry,,48.0,True,427.22
txn_001328,1836.07,issuer_declined_generic,card_expired_invalid,0.473,card_update_nudge,,0.0,False,0.0
txn_005989,1282.28,bank_gateway_timeout,bank_gateway_timeout,0.991,immediate_retry,,0.0,True,1282.28
txn_001078,1434.63,issuer_declined_generic,issuer_declined_generic,0.463,immediate_retry,,0.0,False,0.0
txn_001383,402.04,issuer_declined_generic,insufficient_funds,0.909,delayed_retry,,48.0,False,0.0
txn_001693,2215.48,issuer_declined_generic,insufficient_funds,0.61,delayed_retry,,48.0,False,0.0
txn_005304,9232.4,issuer_declined_generic,issuer_declined_generic,0.995,immediate_retry,,0.0,True,9232.4
txn_003325,187.05,bank_gateway_timeout,bank_gateway_timeout,0.992,immediate_retry,,0.0,True,187.05
txn_000500,413.8,issuer_declined_generic,issuer_declined_generic,0.99,immediate_retry,,0.0,True,413.8
txn_002587,395.32,network_technical_error,network_technical_error,0.799,immediate_retry,,0.0,True,395.32
txn_001842,659.02,insufficient_funds,issuer_declined_generic,0.54,immediate_retry,,0.0,False,0.0
txn_005628,765.17,risk_fraud_hold,risk_fraud_hold,0.992,manual_escalation,compliance_never_auto_retry,,False,0.0
