transaction_id,decline_code,payment_method,amount,hour_of_day,is_recurring,prior_failures_7d,past_success_rate,past_attempts_30d,account_age_days,avg_txn_amount,true_root_cause,_customer_quality
txn_000000,68,upi,502.01,5,False,4,0.525,3,1407,931.23,bank_gateway_timeout,0.42454802688998333
txn_000001,BANK_UNAVAILABLE,upi,644.42,2,True,1,0.759,4,828,851.52,bank_gateway_timeout,0.5275889398014816
txn_000002,96,card,1239.08,15,False,0,0.641,4,1009,177.91,network_technical_error,0.6371801791482613
txn_000003,INVALID_CARD_NO,card,341.22,4,False,0,0.637,2,563,1059.0,card_expired_invalid,0.5172549096186969
txn_000004,CONN_RESET,upi,797.37,3,False,0,0.625,6,868,1459.31,network_technical_error,0.6813510959767244
txn_000005,05,upi,225.4,13,False,2,0.864,4,337,784.81,issuer_declined_generic,0.7639784028085683
txn_000006,14,card,97.42,13,False,1,0.456,3,377,813.93,card_expired_invalid,0.5206275680088928
txn_000007,12,upi,17224.15,4,False,0,0.294,4,1338,237.05,issuer_declined_generic,0.2955913181566335
txn_000008,51,card,559.92,11,False,1,0.695,3,1663,2139.76,insufficient_funds,0.6521575303842132
txn_000009,GTW_TIMEOUT,card,3649.93,12,False,1,0.889,3,332,170.85,bank_gateway_timeout,0.8329942401961031
txn_000010,INSUFF_BAL,netbanking,2412.18,5,False,0,0.24,5,323,654.2,insufficient_funds,0.3419370070961288
txn_000011,51,upi,568.45,5,True,3,0.462,4,1166,1051.04,insufficient_funds,0.5310276909119414
txn_000012,EXPIRED_CARD,upi,4807.9,23,True,0,0.885,3,1117,2081.83,card_expired_invalid,0.8364346205068861
txn_000013,05,card,336.34,4,True,0,0.429,5,781,1907.71,insufficient_funds,0.4582541724849276
txn_000014,91,wallet,826.7,23,True,0,0.61,6,1978,2078.07,network_technical_error,0.7213404387038227
txn_000015,12,card,1757.89,19,False,1,0.4,3,1952,491.7,issuer_declined_generic,0.4055754315736055
txn_000016,51,card,929.98,1,True,1,0.283,4,1280,6794.9,insufficient_funds,0.29247910194748505
txn_000017,NSF,card,754.88,19,False,3,0.419,5,1813,1974.0,insufficient_funds,0.40477927627018323
txn_000018,91,netbanking,104.7,9,False,1,0.655,2,913,467.39,network_technical_error,0.6127792309545443
txn_000019,51,wallet,2093.46,7,True,1,0.566,4,16,498.51,insufficient_funds,0.5286550264381275
txn_000020,TIMEOUT,wallet,2456.38,13,True,1,0.631,2,213,1422.85,network_technical_error,0.6926497592046033
txn_000021,BANK_UNAVAILABLE,card,529.52,7,True,4,0.29,7,1621,416.79,bank_gateway_timeout,0.32330718717516144
txn_000022,GTW_TIMEOUT,upi,2509.92,12,True,2,0.769,3,251,185.41,bank_gateway_timeout,0.6948418145645816
txn_000023,05,upi,1182.83,9,False,1,0.343,5,338,722.39,insufficient_funds,0.3863038843541962
txn_000024,14,card,3027.83,13,True,4,0.615,5,1363,68.56,card_expired_invalid,0.6463268067013078
txn_000025,12,netbanking,2126.37,4,True,2,0.511,5,941,951.79,issuer_declined_generic,0.6313480411353045
txn_000026,51,netbanking,647.69,20,True,0,0.19,3,480,1258.86,insufficient_funds,0.19257449228232526
txn_000027,5XX_ERROR,card,9015.01,13,True,0,0.722,3,1624,509.78,network_technical_error,0.6939274462573918
txn_000028,96,card,337.33,19,False,0,0.312,1,1438,2100.58,bank_gateway_timeout,0.470119018872768
txn_000029,DO_NOT_HONOR,card,32.22,23,False,1,0.791,7,575,1559.37,issuer_declined_generic,0.8764280262368687
txn_000030,05,netbanking,50.26,16,True,1,0.283,4,413,240.1,issuer_declined_generic,0.39650959834079696
txn_000031,BANK_UNAVAILABLE,netbanking,1465.33,18,True,2,0.881,4,1467,695.23,bank_gateway_timeout,0.8180428135274217
txn_000032,05,upi,74.34,21,True,0,0.163,5,472,395.69,issuer_declined_generic,0.3156536222573811
txn_000033,DO_NOT_HONOR,card,447.18,6,False,0,0.153,2,482,481.5,issuer_declined_generic,0.15889580362574163
txn_000034,5XX_ERROR,upi,3077.69,18,True,0,0.777,6,1762,2092.89,network_technical_error,0.719580445940483
txn_000035,51,card,56.63,8,False,1,0.171,3,1746,1243.17,insufficient_funds,0.15551094837591012
txn_000036,51,upi,688.92,2,False,2,0.188,2,1953,324.55,issuer_declined_generic,0.22348542645958458
txn_000037,05,upi,826.4,4,False,1,0.856,2,878,832.29,issuer_declined_generic,0.8282900010025822
txn_000038,DO_NOT_HONOR,card,164.88,18,True,2,0.548,3,1458,312.4,issuer_declined_generic,0.464758051250646
txn_000039,CONN_RESET,card,1185.59,16,False,2,0.601,3,399,409.63,network_technical_error,0.6096307263729535
txn_000040,INSUFF_BAL,card,725.63,18,False,6,0.495,5,1980,3100.08,insufficient_funds,0.6739276236229875
txn_000041,05,upi,1764.37,8,True,1,0.775,3,107,8492.18,issuer_declined_generic,0.683622942576353
txn_000042,14,card,848.65,20,False,2,0.487,3,1714,3940.33,card_expired_invalid,0.45494650639810136
txn_000043,59,upi,524.27,21,True,2,0.095,10,1213,877.78,risk_fraud_hold,0.09733647038710476
txn_000044,51,upi,1336.56,0,True,1,0.117,5,1876,799.48,insufficient_funds,0.2758610892407972
txn_000045,51,upi,3629.47,17,False,3,0.319,3,1366,1843.45,insufficient_funds,0.3426582109703955
txn_000046,VELOCITY_BLOCK,netbanking,4097.82,23,False,4,0.739,3,385,736.21,risk_fraud_hold,0.8093970752951997
txn_000047,INVALID_CARD_NO,upi,1734.35,8,True,3,0.708,4,1361,159.84,card_expired_invalid,0.8048636354134415
txn_000048,NSF,upi,2216.47,17,True,0,0.176,6,1485,4100.84,insufficient_funds,0.18679873701584132
txn_000049,NSF,wallet,435.83,9,False,1,0.394,7,995,202.81,insufficient_funds,0.43667188660134065
txn_000050,05,card,672.64,20,False,2,0.874,1,1176,2225.72,insufficient_funds,0.9113551097339426
txn_000051,59,card,1503.23,3,False,0,0.568,2,806,1421.98,risk_fraud_hold,0.5086941191855525
txn_000052,54,card,1177.26,18,True,1,0.669,2,538,4271.87,card_expired_invalid,0.6486668556742421
txn_000053,INSUFF_BAL,upi,1757.77,11,False,3,0.611,2,1238,1575.81,insufficient_funds,0.650575396561384
txn_000054,EXPIRED_CARD,upi,4385.78,22,False,0,0.576,4,1009,369.5,card_expired_invalid,0.6253755709493063
txn_000055,54,upi,790.35,22,False,3,0.386,4,67,1969.11,card_expired_invalid,0.4225386951198505
txn_000056,INSUFF_BAL,upi,176.26,18,False,0,0.173,5,1516,462.5,insufficient_funds,0.1926230558708774
txn_000057,NSF,upi,336.94,15,True,0,0.71,3,479,250.27,insufficient_funds,0.6631141398677639
txn_000058,05,card,1129.14,7,False,3,0.619,5,93,106.54,insufficient_funds,0.7028067938702228
txn_000059,RISK_HOLD,card,595.89,11,True,2,0.305,5,511,587.77,risk_fraud_hold,0.18796733394418452
txn_000060,05,wallet,232.57,15,False,0,0.94,4,1786,122.9,issuer_declined_generic,0.8933134733119081
txn_000061,INSUFF_BAL,card,856.62,9,False,1,0.0,4,1557,2797.73,insufficient_funds,0.04193208526049994
txn_000062,05,card,398.07,21,True,1,0.071,7,846,138.25,insufficient_funds,0.06429479884437699
txn_000063,5XX_ERROR,upi,1710.03,14,True,2,0.28,4,883,454.83,network_technical_error,0.19673042491623402
txn_000064,CONN_RESET,upi,4778.89,11,False,4,0.405,6,858,474.71,network_technical_error,0.37391779415779514
txn_000065,96,upi,3242.29,21,True,1,0.488,5,92,789.74,bank_gateway_timeout,0.5212155232033323
txn_000066,14,upi,323.74,3,False,2,0.453,5,720,279.41,card_expired_invalid,0.45759761168725943
txn_000067,5XX_ERROR,wallet,453.08,9,False,1,0.534,4,1790,2068.88,network_technical_error,0.5192774386579052
txn_000068,51,upi,165.16,1,False,5,0.429,2,1258,782.97,insufficient_funds,0.3676782071960843
txn_000069,INVALID_CARD_NO,netbanking,3078.39,14,False,1,0.73,5,771,653.48,card_expired_invalid,0.843041345493028
txn_000070,91,wallet,1044.9,23,True,0,0.304,3,1973,347.14,bank_gateway_timeout,0.35235440467169676
txn_000071,NSF,card,5211.19,23,False,1,0.558,3,154,1152.47,insufficient_funds,0.42716478390527324
txn_000072,CONN_RESET,upi,1753.86,18,True,5,0.232,2,1727,2689.98,network_technical_error,0.22948346854195367
txn_000073,91,wallet,550.08,14,False,1,0.614,4,837,9847.51,bank_gateway_timeout,0.49162909935838645
txn_000074,CONN_RESET,card,127.39,0,True,0,0.999,4,1007,259.53,network_technical_error,0.7605009298322031
txn_000075,05,card,1257.65,16,True,0,0.845,2,1899,580.28,card_expired_invalid,0.8843269255918988
txn_000076,NSF,card,9106.87,10,True,1,0.527,4,1864,98.78,insufficient_funds,0.6230198577254884
txn_000077,TIMEOUT,upi,2295.45,21,False,0,0.534,4,1603,1312.69,network_technical_error,0.5555353745575902
txn_000078,GTW_TIMEOUT,upi,780.13,22,False,1,0.495,2,1058,169.82,bank_gateway_timeout,0.40711896189738855
txn_000079,12,card,2271.4,10,False,0,0.73,3,1187,876.07,issuer_declined_generic,0.6304252784417221
txn_000080,INSUFF_BAL,upi,2008.25,23,True,0,0.529,3,1808,2286.74,insufficient_funds,0.3471668702632309
txn_000081,INSUFF_BAL,upi,3626.61,1,True,0,0.619,3,1518,440.56,insufficient_funds,0.6219716795022334
txn_000082,61,card,350.93,18,False,0,0.542,1,604,261.87,risk_fraud_hold,0.5032663998613672
txn_000083,INSUFF_BAL,card,1448.83,10,False,1,0.537,1,1033,2485.21,insufficient_funds,0.593552262277861
txn_000084,91,card,174.86,14,False,2,0.596,2,1637,1353.83,network_technical_error,0.7969825136557269
txn_000085,51,card,114.5,3,False,1,0.2,4,1608,214.91,insufficient_funds,0.20366016146110202
txn_000086,NSF,upi,1943.0,10,False,0,0.46,4,598,764.89,insufficient_funds,0.5525566539135004
txn_000087,GENERIC_DECLINE,wallet,3543.35,21,True,3,0.521,2,1680,283.24,issuer_declined_generic,0.46969011000193545
txn_000088,54,netbanking,902.0,20,True,2,0.442,2,1132,1920.93,card_expired_invalid,0.5927968550566619
txn_000089,51,card,814.53,19,False,3,0.539,4,675,752.16,insufficient_funds,0.5979593507548298
txn_000090,51,upi,1319.25,8,False,1,0.6,4,985,3064.66,insufficient_funds,0.57906352564571
txn_000091,DO_NOT_HONOR,card,3199.78,18,False,2,0.806,5,891,262.03,issuer_declined_generic,0.775730631722991
txn_000092,51,card,2406.62,4,False,3,0.84,6,150,834.72,insufficient_funds,0.84391245903013
txn_000093,DO_NOT_HONOR,card,1288.73,9,False,0,0.577,6,453,657.04,issuer_declined_generic,0.4271854528961577
txn_000094,TIMEOUT,netbanking,1913.29,7,True,0,0.431,6,274,858.08,network_technical_error,0.3053744585630063
txn_000095,05,card,2215.97,18,False,3,0.086,4,1370,377.54,insufficient_funds,0.14090043309406214
txn_000096,14,card,275.79,11,False,2,1.0,3,834,70.04,card_expired_invalid,0.8854241665649416
txn_000097,05,card,1620.84,13,True,1,0.397,2,274,1311.69,insufficient_funds,0.25555169721669235
txn_000098,59,upi,217.82,3,False,2,0.417,2,1192,701.78,risk_fraud_hold,0.4269126099708318
txn_000099,RISK_HOLD,card,2935.44,2,True,1,0.487,7,944,289.66,risk_fraud_hold,0.48318721408188614
txn_000100,CONN_RESET,card,2280.85,22,False,4,0.317,7,1352,402.7,network_technical_error,0.3205693289088669
txn_000101,96,netbanking,960.4,3,False,0,0.421,3,1933,206.59,network_technical_error,0.47294995674667517
txn_000102,14,card,732.59,1,False,1,0.815,1,1970,103.72,card_expired_invalid,0.8587535662752506
txn_000103,05,upi,3182.48,19,False,2,0.141,5,932,1879.42,insufficient_funds,0.03561790824082481
txn_000104,INSUFF_BAL,wallet,1213.75,7,False,1,0.359,5,64,1178.01,insufficient_funds,0.3241284728992274
txn_000105,59,upi,1192.14,21,False,3,0.313,4,137,172.21,risk_fraud_hold,0.35720821127260916
txn_000106,05,upi,1297.5,8,True,1,0.565,2,277,8305.95,insufficient_funds,0.6388478197412629
txn_000107,GENERIC_DECLINE,wallet,1407.87,15,True,3,0.146,4,37,215.55,issuer_declined_generic,0.20635376958500834
txn_000108,91,card,3250.53,7,False,1,0.392,4,1288,1359.1,bank_gateway_timeout,0.4047767347983332
txn_000109,51,wallet,152.96,5,False,0,0.394,4,1900,667.63,insufficient_funds,0.32128559505533627
txn_000110,DO_NOT_HONOR,card,791.4,18,True,2,0.459,5,1508,188.11,issuer_declined_generic,0.5275111947362828
txn_000111,14,card,96.98,21,True,1,0.469,3,1414,943.58,card_expired_invalid,0.3969240911802861
txn_000112,CONN_RESET,upi,1395.3,1,False,1,0.283,5,639,553.11,network_technical_error,0.26734014467773615
txn_000113,12,netbanking,443.6,21,False,1,0.715,5,1419,351.79,issuer_declined_generic,0.7031019032153489
txn_000114,96,card,1050.64,5,False,4,0.845,6,1032,2487.79,bank_gateway_timeout,0.7632566728070849
txn_000115,05,card,384.05,16,False,1,0.687,7,740,1241.27,insufficient_funds,0.6196628730812765
txn_000116,68,card,364.94,14,False,1,0.748,6,110,1365.4,bank_gateway_timeout,0.860429069934956
txn_000117,VELOCITY_BLOCK,card,556.63,18,True,1,0.227,3,1002,536.32,risk_fraud_hold,0.31324131282890594
txn_000118,GENERIC_DECLINE,wallet,982.49,5,True,2,0.603,3,844,945.91,issuer_declined_generic,0.6214426454062916
txn_000119,05,upi,1910.45,2,False,0,0.366,2,1117,647.5,issuer_declined_generic,0.3376700754924937
txn_000120,91,upi,399.12,8,False,1,0.782,3,934,1095.77,network_technical_error,0.6733094712896462
txn_000121,05,card,1045.26,18,False,3,0.53,5,1534,251.76,issuer_declined_generic,0.5244646914824658
txn_000122,96,wallet,1402.05,2,False,1,0.789,6,1804,61.92,bank_gateway_timeout,0.6524566466335914
txn_000123,14,card,523.7,21,False,1,0.178,4,1019,2581.52,card_expired_invalid,0.23409652421992125
txn_000124,91,card,1362.81,1,False,2,0.682,4,680,655.4,bank_gateway_timeout,0.7254072740504728
txn_000125,14,card,215.68,16,False,3,0.817,8,614,1178.18,card_expired_invalid,0.8418081598036476
txn_000126,05,upi,332.32,18,True,4,0.0,6,1762,335.48,insufficient_funds,0.04436692656879743
